merchant,amount,category
Dunkin',137.02,Food & Drinks
Apollo Hospit@l,164.76,Health
Cafe Nero,99.69,Food & Drinks
Hotel 487,175.72,Travel
Shell Gas 47,144.11,Fuel
Starbucks,217.02,Food & Drinks
Phone Bill,77.43,Bills & Utilities
Unknown Merchant 469,314.18,Others
Netflix POS,207.3,Entertainment
Shell Gas 50,145.79,Fuel
Dunkin',235.97,Food & Drinks
Jio Recharge,66.51,Bills & Utilities
Safeway,304.57,Groceries
Petrol Pump 659,280.74,Fuel
Jio Recharge,49.23,Bills & Utilities
Delta Airlines,287.07,Travel
Walmart Grocery,128.85,Groceries
Spotify,199.18,Entertainment
Walmart Grocery,70.18,Groceries
AMC Theatres,66.25,Entertainment
Phone Bill,301.1,Bills & Utilities
Petrol Pump 686,253.66,Fuel
Delta Airlines,131.25,Travel
Electricity Board,289.53,Bills & Utilities
Unknown - Merchant - 443,206.24,Others
Uber Trip,77.95,Travel
Amazon Marketplace,337.0,Shopping
Subway POS,25.41,Food & Drinks
ExxonMobil,268.94,Fuel
Grocery Store 243,145.63,Groceries
Safeway,303.13,Groceries
Jio Recharge,127.96,Bills & Utilities
Booking.com,308.11,Travel
Cineplex,101.37,Entertainment
Clinic 302 POS,148.48,Health
BSNL,255.91,Bills & Utilities
Booking.com POS,325.05,Travel
Dentist 308,88.16,Health
Cineplex,137.82,Entertainment
Booking.com,140.53,Travel
Delta Airlines,284.88,Travel
Zara,15.14,Shopping
ExxonMobil,313.67,Fuel
Am@zon Mktp 307,197.68,Shopping
Clinic @34,44.65,Health
Dunkin',150.87,Food & Drinks
Shell Gas 23,33.55,Fuel
AMZ Petrol Pump 326,331.72,Fuel
Safeway,97.56,Groceries
Flipkart #325,253.0,Shopping
AMZ Charity869,63.89,Others
Hotel 751,107.96,Travel
Local Cafe 482,287.46,Food & Drinks
AMZ Pharmacy 539,237.4,Health
Shell Gas 350,183.41,Fuel
AMZ Charity 968,194.62,Others
Charity 61,305.26,Others
Walmart Grocery,16.94,Groceries
Misc Purchase 911,193.37,Others
Water Supply Dept,16.6,Bills & Utilities
Dunkin',325.23,Food & Drinks
Flipkart,139.66,Shopping
Walmart  Grocery,171.58,Groceries
CVS Pharmacy,5.1,Health
Air India,92.04,Travel
Trader  Joe's,95.16,Groceries
BigBasket,162.53,Groceries
Misc Purchase 26,315.66,Others
DUNKIN',143.82,Food & Drinks
Netflix,121.23,Entertainment
Best Buy,258.96,Shopping
Uber Trip,271.66,Travel
Shell Gas 211,55.08,Fuel
Sp0tify,108.94,Entertainment
Cafe Nero POS,325.89,Food & Drinks
Flipkart,51.42,Shopping
Internet Provider,128.42,Bills & Utilities
Grocery  Store  297,285.59,Groceries
H&M,123.41,Shopping
Amazon Mktp 623 #36,127.71,Shopping
Charity 745,59.85,Others
Trader Joe's,281.81,Groceries
BOOKSTORE 574,50.83,Entertainment
Hotel 841 POS,124.71,Travel
BSNL #438,106.69,Bills & Utilities
Myntr@,309.66,Shopping
Water Supply Dept,246.81,Bills & Utilities
Donation 131,192.74,Others
Shel@ Gas#192,201.08,Fuel
Tra@#r Joe's,340.44,Groceries
Spotify,247.24,Entertainment
AMC Theatres #112,225.7,Entertainment
Pharmacy 6,235.43,Health
Charity 567,132.24,Others
Jio Recharge,224.92,Bills & Utilities
bookstore 406,18.68,Entertainment
Bookstore 42 POS,272.52,Entertainment
Cineplex POS,28.29,Entertainment
Pharmacy - 253,30.74,Health
Shell Gas 996,289.3,Fuel
Cafe Nero,171.75,Food & Drinks
Electricity B0ard,173.71,Bills & Utilities
Amazon Mktp 824,122.21,Shopping
Cafe Nero,306.26,Food & Drinks
Local Cafe 870,141.26,Food & Drinks
Spotify POS,249.45,Entertainment
D0nati0n 701 POS,117.73,Others
Total Energies,37.01,Fuel
Best Buy,116.38,Shopping
Dunkin' POS,321.99,Food & Drinks
Walmart Grocery,299.29,Groceries
Total - Energies,321.22,Fuel
Cineplex,262.64,Entertainment
Myntr@,127.9,Shopping
Am@zon Mktp 596,225.51,Shopping
Subway,270.78,Food & Drinks
AMZ H&M,131.6,Shopping
BP Fuel Station,62.87,Fuel
Unknown Merchant 150,78.95,Others
Flipkart,331.33,Shopping
H&M,41.04,Shopping
CVS Pharmacy,115.75,Health
Netflix,49.34,Entertainment
McDonalds,160.74,Food & Drinks
Booking.com POS,70.3,Travel
Internet Provider POS,16.32,Bills & Utilities
Electricity Board,218.26,Bills & Utilities
Dunkin',87.66,Food & Drinks
Pharmacy 762,90.42,Health
Subway,172.87,Food & Drinks
Walmart Grocery,162.64,Groceries
Misc Purchase 828,32.57,Others
Donation 175,259.84,Others
Cineplex,9.43,Entertainment
Cafe Nero,289.58,Food & Drinks
Clinic 737,8.99,Health
AMZ Dentist 644,230.18,Health
Lyft,148.65,Travel
!M! Charity 384,43.6,Others
AMAZON MKTP 381,30.73,Shopping
Clinic 629,317.66,Health
Misc Purchase 703,206.05,Others
Misc Purch@se 98,213.2,Others
Pharmacy 802 POS,214.34,Health
Ap0ll0 H0spital,223.2,Health
Air India,72.49,Travel
Air India,129.17,Travel
exxonmobil,12.33,Fuel
AMZ Total Energies,250.44,Fuel
BP Fuel Station,321.49,Fuel
ExxonMobil,172.83,Fuel
Grocery Store 898 POS,344.07,Groceries
Unknown - Merchant - 463,67.0,Others
Starbucks,39.28,Food & Drinks
AMZ Total Energies,235.08,Fuel
AMC Theatres,269.24,Entertainment
AMZ Cafe Nero,189.15,Food & Drinks
Subway,175.91,Food & Drinks
Booking.com,256.74,Travel
Booking.com,43.45,Travel
Walmart Grocery,313.14,Groceries
AMZ D!ntist 311,195.62,Health
Internet Provider,166.99,Bills & Utilities
AMZ Delta Airlines,196.32,Travel
Best Buy,69.34,Shopping
Air India POS,240.0,Travel
Walmart Grocery,216.41,Groceries
Netflix,168.47,Entertainment
Cineplex,33.1,Entertainment
AMZ BigBasket,157.19,Groceries
Pharmacy 782,115.7,Health
Apollo Hospital,330.15,Health
AMZ Apollo Hospit@l POS,62.19,Health
BP Fuel Station POS,196.08,Fuel
Spotify,134.48,Entertainment
charity 416,186.24,Others
Cineplex #296,72.19,Entertainment
Electricity Board POS,335.45,Bills & Utilities
Clinic 906,96.65,Health
BSNL,219.88,Bills & Utilities
Spotify,347.64,Entertainment
Amazon Marketplace,75.64,Shopping
Grocery Store 466,177.22,Groceries
Apollo Hospital,101.85,Health
Booking.com,77.76,Travel
MISC PURCHASE 490,304.85,Others
BSNL,85.78,Bills & Utilities
AMZ#Phone Bill,24.33,Bills & Utilities
Amc Theatres,225.33,Entertainment
Delta Airlines,216.99,Travel
charity 516,109.13,Others
CVS Pharmacy,9.1,Health
Water Supply Dept,249.57,Bills & Utilities
Grocery Store 63,150.38,Groceries
Bigbasket,135.22,Groceries
Delta Airlines,181.93,Travel
bigbasket POS,165.91,Groceries
Subway,20.99,Food & Drinks
Zara,253.89,Shopping
Hotel 721,196.35,Travel
